Sample	Taxonomy	Count
WW	k:Eukaryota(1.00),p:SAR(0.98),c:Rhizaria(0.97),o:Cercozoa(0.97),f:Imbricatea(0.27),g:Marimonadida(0.20),s:metagenome(0.20)	297
WW	k:Eukaryota(1.00),p:SAR(1.00),c:Rhizaria(1.00),o:Cercozoa(1.00),f:Cercomonadidae(1.00),g:Cercomonas(0.99),s:Cercozoa sp. COHH 1(0.14)	189
WW	k:Eukaryota(1.00),p:Cryptophyceae(1.00),c:Cryptomonadales(1.00),o:Rhodomonas(1.00),f:Rhodomonas sp. CCMP743(1.00)	179
WW	k:Eukaryota(1.00),p:Amorphea(0.18),c:Obazoa(0.18),o:Opisthokonta(0.18),f:Nucletmycea(0.15),g:Fungi(0.15),s:Dikarya(0.15)	112
WW	k:Eukaryota(1.00),p:SAR(0.97),c:Stramenopiles(0.97),o:Ochrophyta(0.97),f:Chrysophyceae(0.97),g:Chromulinales(0.97),s:uncultured(0.97)	72
WW	k:Eukaryota(1.00),p:Amorphea(0.94),c:Obazoa(0.94),o:Opisthokonta(0.94),f:Nucletmycea(0.94),g:Fungi(0.94),s:Dikarya(0.94)	60
WW	k:Eukaryota(1.00),p:SAR(1.00),c:Stramenopiles(1.00),o:Incertae Sedis(1.00),f:Blastocystis(1.00),g:gut metagenome(1.00)	57
WW	k:Eukaryota(1.00),p:SAR(0.80),c:Stramenopiles(0.80),o:Ochrophyta(0.80),f:Chrysophyceae(0.80),g:Chromulinales(0.79),s:uncultured(0.79)	55
WW	k:Eukaryota(1.00),p:Archaeplastida(0.83),c:Chloroplastida(0.83),o:Charophyta(0.83),f:Phragmoplastophyta(0.83),g:Streptophyta(0.83),s:Embryophyta(0.83)	54
WW	k:Eukaryota(1.00),p:Amorphea(1.00),c:Amoebozoa(1.00),o:Archamoebae(1.00),f:Incertae Sedis(1.00),g:Rhizomastix(1.00),s:Ripella platypodia(1.00)	39
WW	k:Eukaryota(1.00),p:SAR(0.95),c:Stramenopiles(0.95),o:Ochrophyta(0.95),f:Chrysophyceae(0.94),g:Chromulinales(0.55),s:Spumella(0.04)	39
WW	k:Eukaryota(1.00),p:Archaeplastida(0.31),c:Chloroplastida(0.31),o:Charophyta(0.31),f:Phragmoplastophyta(0.31),g:Streptophyta(0.31),s:Embryophyta(0.31)	29
WW	k:Eukaryota(1.00),p:Amorphea(0.87),c:Obazoa(0.87),o:Opisthokonta(0.87),f:Nucletmycea(0.87),g:Fungi(0.80),s:Dikarya(0.80)	17
WW	k:Eukaryota(1.00),p:Amorphea(0.98),c:Obazoa(0.98),o:Opisthokonta(0.98),f:Nucletmycea(0.98),g:Fungi(0.98),s:Dikarya(0.97)	17
WW	k:Eukaryota(1.00),p:Amorphea(1.00),c:Obazoa(1.00),o:Opisthokonta(1.00),f:Nucletmycea(1.00),g:Fungi(1.00),s:Dikarya(0.97)	17
WW	k:Eukaryota(1.00),p:Amorphea(0.98),c:Obazoa(0.98),o:Opisthokonta(0.98),f:Nucletmycea(0.98),g:Fungi(0.98),s:Dikarya(0.98)	13
WW	k:Eukaryota(1.00),p:Amorphea(0.99),c:Obazoa(0.99),o:Opisthokonta(0.99),f:Nucletmycea(0.99),g:Fungi(0.99),s:Dikarya(0.99)	13
WW	k:Eukaryota(1.00),p:Archaeplastida(0.99),c:Chloroplastida(0.99),o:Charophyta(0.99),f:Phragmoplastophyta(0.99),g:Streptophyta(0.98),s:Embryophyta(0.98)	11
WW	k:Eukaryota(1.00),p:Archaeplastida(0.89),c:Chloroplastida(0.89),o:Charophyta(0.89),f:Phragmoplastophyta(0.89),g:Streptophyta(0.89),s:Embryophyta(0.89)	10
WW	k:Eukaryota(1.00),p:Amorphea(1.00),c:Obazoa(1.00),o:Opisthokonta(1.00),f:Holozoa(1.00),g:Choanozoa(1.00),s:Metazoa(1.00)	7
WW	k:Eukaryota(1.00),p:SAR(0.99),c:Stramenopiles(0.72),o:Ochrophyta(0.72),f:Chrysophyceae(0.69),g:Synurales(0.28),s:Mallomonas(0.20)	7
WW	k:Eukaryota(1.00),p:Archaeplastida(0.87),c:Chloroplastida(0.87),o:Charophyta(0.87),f:Phragmoplastophyta(0.87),g:Streptophyta(0.87),s:Embryophyta(0.87)	6
WW	k:Eukaryota(1.00),p:Discoba(0.27),c:Jakobida(0.27),o:uncultured dinoflagellate(0.27)	6
WW	k:Eukaryota(1.00),p:SAR(0.30),c:Rhizaria(0.30),o:Cercozoa(0.30),f:Phytomyxea(0.30),g:Polymyxa(0.30),s:Caprifoliaceae environmental sample(0.30)	6
WW	k:Eukaryota(1.00),p:SAR(0.78),c:Stramenopiles(0.78),o:Ochrophyta(0.78),f:Chrysophyceae(0.38),g:Ochromonadales(0.06),s:Ochromonas(0.05)	5
WW	k:Eukaryota(1.00),p:SAR(1.00),c:Stramenopiles(1.00),o:Ochrophyta(1.00),f:Chrysophyceae(1.00),g:Synurales(0.18),s:Mallomonas(0.18)	5
WW	k:Eukaryota(1.00),p:Amorphea(0.95),c:Amoebozoa(0.89),o:Discosea(0.89),f:Flabellinia(0.89),g:Vannellida(0.89),s:uncultured(0.86)	4
WW	k:Eukaryota(1.00),p:SAR(0.86),c:Stramenopiles(0.83),o:Ochrophyta(0.83),f:Chrysophyceae(0.83),g:Chromulinales(0.83),s:uncultured(0.83)	4
